file,line,code,issue,risk,gain,status
editor/src/ui/components/effects_preview.rs,289,"    let title = format!(""Live: {}"", app.selected_builtin_effect().unwrap_or(""none""));",Format allocation - Use write!() macro,MEDIUM,+3-12%,completed
editor/src/ui/components/header.rs,22,"    let mode = format!("" {} "", app.current_mode_label());",Format allocation - Use write!() macro,MEDIUM,+3-12%,completed
editor/src/ui/components/header.rs,23,"    let screen = format!("" {}"", app.current_screen_name());",Format allocation - Use write!() macro,MEDIUM,+3-12%,completed
editor/src/ui/components/help.rs,22,"                    .title(format!(""{} Help"", app.current_screen_name()))",Format allocation - Use write!() macro,MEDIUM,+3-12%,completed
editor/src/ui/components/preview.rs,23,            Line::from(format!(,Format allocation - Use write!() macro,MEDIUM,+3-12%,completed
editor/src/ui/components/preview.rs,31,"            Line::from(format!(""{} image(s) in project"", app.index.images.len())),",Format allocation - Use write!() macro,MEDIUM,+3-12%,completed
editor/src/ui/components/preview.rs,36,"            Line::from(format!(""{} font(s) in project"", app.index.fonts.len())),",Format allocation - Use write!() macro,MEDIUM,+3-12%,completed
editor/src/ui/components/preview.rs,64,        lines.push(Line::from(format!(,Format allocation - Use write!() macro,MEDIUM,+3-12%,completed
editor/src/ui/components/preview.rs,97,                .to_string(),String allocation - Use String::from() or &str,LOW,+3-12%,completed
editor/src/ui/components/preview.rs,100,"        Line::from(format!(""🎬 {}"", scene_display_name)),",Format allocation - Use write!() macro,MEDIUM,+3-12%,completed
editor/src/ui/components/preview.rs,109,                lines.push(Line::from(line.to_string()));,String allocation - Use String::from() or &str,LOW,+3-12%,completed
editor/src/ui/components/preview.rs,117,"            lines.push(Line::from(format!(""Error reading file: {}"", e)));",Format allocation - Use write!() macro,MEDIUM,+3-12%,completed
editor/src/ui/components/preview.rs,127,        Line::from(format!(,Format allocation - Use write!() macro,MEDIUM,+3-12%,completed
editor/src/ui/components/preview.rs,139,"            lines.push(Line::from(format!(""Size: {} bytes"", metadata.len())));",Format allocation - Use write!() macro,MEDIUM,+3-12%,completed
editor/src/ui/components/preview.rs,140,"            lines.push(Line::from(format!(""Path: {}"", image_path)));",Format allocation - Use write!() macro,MEDIUM,+3-12%,completed
editor/src/ui/components/preview.rs,143,"            lines.push(Line::from(format!(""Error: {}"", e)));",Format allocation - Use write!() macro,MEDIUM,+3-12%,completed
editor/src/ui/components/scenes_preview.rs,71,"                ListItem::new(Line::from(Span::styled(format!(""{prefix} {label}""), style)))",Format allocation - Use write!() macro,MEDIUM,+3-12%,completed
editor/src/ui/components/scenes_preview.rs,116,                    format!(,Format allocation - Use write!() macro,MEDIUM,+3-12%,completed
editor/src/ui/components/scenes_preview.rs,152,"        .unwrap_or_else(|| ""none"".to_string());",String allocation - Use String::from() or &str,LOW,+3-12%,completed
editor/src/ui/components/scenes_preview.rs,153,"    let title = format!(""Live Preview: {scene_name}"");",Format allocation - Use write!() macro,MEDIUM,+3-12%,completed
editor/src/ui/components/scenes_preview.rs,190,            let mut filtered_scene = scene.clone();,Clone allocation - Consider ownership or references,LOW,+3-12%,completed
editor/src/ui/components/scenes_preview.rs,208,"                            .unwrap_or_else(|| ""-"".to_string());",String allocation - Use String::from() or &str,LOW,+3-12%,completed
editor/src/ui/components/scenes_preview.rs,211,                            format!(,Format allocation - Use write!() macro,MEDIUM,+3-12%,completed
editor/src/ui/components/scenes_preview.rs,299,"        return Err(""mod source is not set"".to_string());",String allocation - Use String::from() or &str,LOW,+3-12%,completed
editor/src/ui/components/sidebar/effects.rs,45,"                Span::styled(format!(""{cursor} ""), name_style),",Format allocation - Use write!() macro,MEDIUM,+3-12%,completed
editor/src/ui/components/sidebar/effects.rs,47,"                Span::styled(format!("" {name}""), name_style),",Format allocation - Use write!() macro,MEDIUM,+3-12%,completed
editor/src/ui/components/sidebar/explorer.rs,21,"                TreeItem::ModYaml => (""📄 mod.yaml"".to_string(), theme::fg_active()),",String allocation - Use String::from() or &str,LOW,+3-12%,completed
